polled_at,chart_id,chart_type,series,label,value,servers_reporting
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T18:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T18:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T19:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T19:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T20:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T20:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T21:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T21:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T22:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T22:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T23:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-03T23:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T00:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T00:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T01:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T01:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T02:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T02:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T03:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T03:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T04:00:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T04:30:00+00:00,0,
2026-08-16T13:40:19+00:00,servers,single_linechart,Servers,2026-08-04T05:00:00+00:00,0,
